icd10_code,cc_number,hcc_code,cc_label,is_payment_hcc
A4154,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A4159,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A4181,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A4189,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A419,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A427,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A480,263,HCC263,Atherosclerosis of Arteries of the Extremities with Ulceration or Gangrene,1
A481,282,HCC282,Aspiration and Specified Bacterial Pneumonias,1
A483,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A5055,92,HCC92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,1
A5440,92,HCC92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,1
A5441,92,HCC92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,1
A5442,92,HCC92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,1
A5443,92,HCC92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,1
A5449,92,HCC92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,1
A5485,78,HCC78,Intestinal Obstruction/Perforation,1
A5486,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A666,92,HCC92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,1
A6923,92,HCC92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,1
A8100,127,HCC127,"Dementia, Mild or Unspecified",1
A8101,127,HCC127,"Dementia, Mild or Unspecified",1
A8109,127,HCC127,"Dementia, Mild or Unspecified",1
A811,127,HCC127,"Dementia, Mild or Unspecified",1
A812,127,HCC127,"Dementia, Mild or Unspecified",1
A8181,127,HCC127,"Dementia, Mild or Unspecified",1
A8182,127,HCC127,"Dementia, Mild or Unspecified",1
A8183,127,HCC127,"Dementia, Mild or Unspecified",1
A8189,127,HCC127,"Dementia, Mild or Unspecified",1
A819,127,HCC127,"Dementia, Mild or Unspecified",1
B007,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
B0082,182,HCC182,Spinal Cord Disorders/Injuries,1
B0112,182,HCC182,Spinal Cord Disorders/Injuries,1
B0224,182,HCC182,Spinal Cord Disorders/Injuries,1
B0682,92,HCC92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,1
B180,65,HCC65,Chronic Hepatitis,1
B181,65,HCC65,Chronic Hepatitis,1
B182,65,HCC65,Chronic Hepatitis,1
B188,65,HCC65,Chronic Hepatitis,1
B189,65,HCC65,Chronic Hepatitis,1
B20,1,HCC1,HIV/AIDS,1
B250,6,HCC6,Opportunistic Infections,1
B251,6,HCC6,Opportunistic Infections,1
B252,6,HCC6,Opportunistic Infections,1
B258,6,HCC6,Opportunistic Infections,1
B259,6,HCC6,Opportunistic Infections,1
B2685,92,HCC92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,1
B3324,227,HCC227,Cardiomyopathy/Myocarditis,1
B371,6,HCC6,Opportunistic Infections,1
B377,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
B377,6,HCC6,Opportunistic Infections,1
B3781,6,HCC6,Opportunistic Infections,1
B4282,92,HCC92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,1
B440,6,HCC6,Opportunistic Infections,1
B441,6,HCC6,Opportunistic Infections,1
B442,6,HCC6,Opportunistic Infections,1
B447,6,HCC6,Opportunistic Infections,1
B4481,280,HCC280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",1
B4489,6,HCC6,Opportunistic Infections,1
B449,6,HCC6,Opportunistic Infections,1
B450,6,HCC6,Opportunistic Infections,1
B451,6,HCC6,Opportunistic Infections,1
B452,6,HCC6,Opportunistic Infections,1
B453,6,HCC6,Opportunistic Infections,1
B457,6,HCC6,Opportunistic Infections,1
B458,6,HCC6,Opportunistic Infections,1
B459,6,HCC6,Opportunistic Infections,1
B460,6,HCC6,Opportunistic Infections,1
B461,6,HCC6,Opportunistic Infections,1
B462,6,HCC6,Opportunistic Infections,1
B463,6,HCC6,Opportunistic Infections,1
B464,6,HCC6,Opportunistic Infections,1
B465,6,HCC6,Opportunistic Infections,1
B468,6,HCC6,Opportunistic Infections,1
B469,6,HCC6,Opportunistic Infections,1
B484,6,HCC6,Opportunistic Infections,1
B488,6,HCC6,Opportunistic Infections,1
B582,6,HCC6,Opportunistic Infections,1
B583,6,HCC6,Opportunistic Infections,1
B59,6,HCC6,Opportunistic Infections,1
B9735,1,HCC1,HIV/AIDS,1
C01,21,HCC21,Lymphoma and Other Cancers,1
C020,21,HCC21,Lymphoma and Other Cancers,1
C021,21,HCC21,Lymphoma and Other Cancers,1
C022,21,HCC21,Lymphoma and Other Cancers,1
C023,21,HCC21,Lymphoma and Other Cancers,1
C024,21,HCC21,Lymphoma and Other Cancers,1
C028,21,HCC21,Lymphoma and Other Cancers,1
C029,21,HCC21,Lymphoma and Other Cancers,1
C030,21,HCC21,Lymphoma and Other Cancers,1
C031,21,HCC21,Lymphoma and Other Cancers,1
C039,21,HCC21,Lymphoma and Other Cancers,1
C040,21,HCC21,Lymphoma and Other Cancers,1
C041,21,HCC21,Lymphoma and Other Cancers,1
C048,21,HCC21,Lymphoma and Other Cancers,1
C049,21,HCC21,Lymphoma and Other Cancers,1
C050,21,HCC21,Lymphoma and Other Cancers,1
C051,21,HCC21,Lymphoma and Other Cancers,1
C052,21,HCC21,Lymphoma and Other Cancers,1
C058,21,HCC21,Lymphoma and Other Cancers,1
C059,21,HCC21,Lymphoma and Other Cancers,1
C060,21,HCC21,Lymphoma and Other Cancers,1
C061,21,HCC21,Lymphoma and Other Cancers,1
C062,21,HCC21,Lymphoma and Other Cancers,1
C0680,21,HCC21,Lymphoma and Other Cancers,1
C0689,21,HCC21,Lymphoma and Other Cancers,1
C069,21,HCC21,Lymphoma and Other Cancers,1
C07,21,HCC21,Lymphoma and Other Cancers,1
C080,21,HCC21,Lymphoma and Other Cancers,1
C081,21,HCC21,Lymphoma and Other Cancers,1
C089,21,HCC21,Lymphoma and Other Cancers,1
C090,21,HCC21,Lymphoma and Other Cancers,1
C091,21,HCC21,Lymphoma and Other Cancers,1
C098,21,HCC21,Lymphoma and Other Cancers,1
C099,21,HCC21,Lymphoma and Other Cancers,1
C100,21,HCC21,Lymphoma and Other Cancers,1
C101,21,HCC21,Lymphoma and Other Cancers,1
C102,21,HCC21,Lymphoma and Other Cancers,1
C103,21,HCC21,Lymphoma and Other Cancers,1
C104,21,HCC21,Lymphoma and Other Cancers,1
C108,21,HCC21,Lymphoma and Other Cancers,1
C109,21,HCC21,Lymphoma and Other Cancers,1
C110,21,HCC21,Lymphoma and Other Cancers,1
C111,21,HCC21,Lymphoma and Other Cancers,1
C112,21,HCC21,Lymphoma and Other Cancers,1
C113,21,HCC21,Lymphoma and Other Cancers,1
C118,21,HCC21,Lymphoma and Other Cancers,1
C119,21,HCC21,Lymphoma and Other Cancers,1
C12,21,HCC21,Lymphoma and Other Cancers,1
C130,21,HCC21,Lymphoma and Other Cancers,1
C131,21,HCC21,Lymphoma and Other Cancers,1
C132,21,HCC21,Lymphoma and Other Cancers,1
C138,21,HCC21,Lymphoma and Other Cancers,1
C139,21,HCC21,Lymphoma and Other Cancers,1
C140,21,HCC21,Lymphoma and Other Cancers,1
C142,21,HCC21,Lymphoma and Other Cancers,1
C148,21,HCC21,Lymphoma and Other Cancers,1
C153,20,HCC20,Lung and Other Severe Cancers,1
C154,20,HCC20,Lung and Other Severe Cancers,1
C155,20,HCC20,Lung and Other Severe Cancers,1
C158,20,HCC20,Lung and Other Severe Cancers,1
C159,20,HCC20,Lung and Other Severe Cancers,1
C160,20,HCC20,Lung and Other Severe Cancers,1
C161,20,HCC20,Lung and Other Severe Cancers,1
C162,20,HCC20,Lung and Other Severe Cancers,1
C163,20,HCC20,Lung and Other Severe Cancers,1
C164,20,HCC20,Lung and Other Severe Cancers,1
C165,20,HCC20,Lung and Other Severe Cancers,1
C166,20,HCC20,Lung and Other Severe Cancers,1
C168,20,HCC20,Lung and Other Severe Cancers,1
C169,20,HCC20,Lung and Other Severe Cancers,1
C170,20,HCC20,Lung and Other Severe Cancers,1
C171,20,HCC20,Lung and Other Severe Cancers,1
C172,20,HCC20,Lung and Other Severe Cancers,1
C173,20,HCC20,Lung and Other Severe Cancers,1
C178,20,HCC20,Lung and Other Severe Cancers,1
C179,20,HCC20,Lung and Other Severe Cancers,1
C180,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C181,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C182,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C183,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C184,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C185,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C186,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C187,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C188,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C189,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C19,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C20,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C210,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C211,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C212,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C218,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C220,20,HCC20,Lung and Other Severe Cancers,1
C221,20,HCC20,Lung and Other Severe Cancers,1
C222,20,HCC20,Lung and Other Severe Cancers,1
C223,20,HCC20,Lung and Other Severe Cancers,1
C224,20,HCC20,Lung and Other Severe Cancers,1
C227,20,HCC20,Lung and Other Severe Cancers,1
C228,20,HCC20,Lung and Other Severe Cancers,1
C229,20,HCC20,Lung and Other Severe Cancers,1
C23,20,HCC20,Lung and Other Severe Cancers,1
C240,20,HCC20,Lung and Other Severe Cancers,1
C241,20,HCC20,Lung and Other Severe Cancers,1
C248,20,HCC20,Lung and Other Severe Cancers,1
C249,20,HCC20,Lung and Other Severe Cancers,1
C250,20,HCC20,Lung and Other Severe Cancers,1
C251,20,HCC20,Lung and Other Severe Cancers,1
C252,20,HCC20,Lung and Other Severe Cancers,1
C253,20,HCC20,Lung and Other Severe Cancers,1
C254,20,HCC20,Lung and Other Severe Cancers,1
C257,20,HCC20,Lung and Other Severe Cancers,1
C258,20,HCC20,Lung and Other Severe Cancers,1
C259,20,HCC20,Lung and Other Severe Cancers,1
C260,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C261,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C269,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C300,21,HCC21,Lymphoma and Other Cancers,1
C301,21,HCC21,Lymphoma and Other Cancers,1
C310,21,HCC21,Lymphoma and Other Cancers,1
C311,21,HCC21,Lymphoma and Other Cancers,1
C312,21,HCC21,Lymphoma and Other Cancers,1
C313,21,HCC21,Lymphoma and Other Cancers,1
C318,21,HCC21,Lymphoma and Other Cancers,1
C319,21,HCC21,Lymphoma and Other Cancers,1
C320,21,HCC21,Lymphoma and Other Cancers,1
C321,21,HCC21,Lymphoma and Other Cancers,1
C322,21,HCC21,Lymphoma and Other Cancers,1
C323,21,HCC21,Lymphoma and Other Cancers,1
C328,21,HCC21,Lymphoma and Other Cancers,1
C329,21,HCC21,Lymphoma and Other Cancers,1
C33,20,HCC20,Lung and Other Severe Cancers,1
C3400,20,HCC20,Lung and Other Severe Cancers,1
C3401,20,HCC20,Lung and Other Severe Cancers,1
C3402,20,HCC20,Lung and Other Severe Cancers,1
C3410,20,HCC20,Lung and Other Severe Cancers,1
C3411,20,HCC20,Lung and Other Severe Cancers,1
C3412,20,HCC20,Lung and Other Severe Cancers,1
C342,20,HCC20,Lung and Other Severe Cancers,1
C3430,20,HCC20,Lung and Other Severe Cancers,1
C3431,20,HCC20,Lung and Other Severe Cancers,1
C3432,20,HCC20,Lung and Other Severe Cancers,1
C3480,20,HCC20,Lung and Other Severe Cancers,1
C3481,20,HCC20,Lung and Other Severe Cancers,1
C3482,20,HCC20,Lung and Other Severe Cancers,1
C3490,20,HCC20,Lung and Other Severe Cancers,1
C3491,20,HCC20,Lung and Other Severe Cancers,1
C3492,20,HCC20,Lung and Other Severe Cancers,1
C37,21,HCC21,Lymphoma and Other Cancers,1
C380,20,HCC20,Lung and Other Severe Cancers,1
C381,21,HCC21,Lymphoma and Other Cancers,1
C382,21,HCC21,Lymphoma and Other Cancers,1
C383,21,HCC21,Lymphoma and Other Cancers,1
C384,20,HCC20,Lung and Other Severe Cancers,1
C388,21,HCC21,Lymphoma and Other Cancers,1
C390,21,HCC21,Lymphoma and Other Cancers,1
C399,21,HCC21,Lymphoma and Other Cancers,1
C4000,21,HCC21,Lymphoma and Other Cancers,1
C4001,21,HCC21,Lymphoma and Other Cancers,1
C4002,21,HCC21,Lymphoma and Other Cancers,1
C4010,21,HCC21,Lymphoma and Other Cancers,1
C4011,21,HCC21,Lymphoma and Other Cancers,1
C4012,21,HCC21,Lymphoma and Other Cancers,1
C4020,21,HCC21,Lymphoma and Other Cancers,1
C4021,21,HCC21,Lymphoma and Other Cancers,1
C4022,21,HCC21,Lymphoma and Other Cancers,1
C4030,21,HCC21,Lymphoma and Other Cancers,1
C4031,21,HCC21,Lymphoma and Other Cancers,1
C4032,21,HCC21,Lymphoma and Other Cancers,1
C4080,21,HCC21,Lymphoma and Other Cancers,1
C4081,21,HCC21,Lymphoma and Other Cancers,1
C4082,21,HCC21,Lymphoma and Other Cancers,1
C4090,21,HCC21,Lymphoma and Other Cancers,1
C4091,21,HCC21,Lymphoma and Other Cancers,1
C4092,21,HCC21,Lymphoma and Other Cancers,1
C410,21,HCC21,Lymphoma and Other Cancers,1
C411,21,HCC21,Lymphoma and Other Cancers,1
C412,21,HCC21,Lymphoma and Other Cancers,1
C413,21,HCC21,Lymphoma and Other Cancers,1
C414,21,HCC21,Lymphoma and Other Cancers,1
C419,21,HCC21,Lymphoma and Other Cancers,1
C430,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C4310,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C43111,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C43112,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C43121,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C43122,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C4320,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C4321,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C4322,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C4330,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C4331,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C4339,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C434,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C4351,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C4352,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C4359,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C4360,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C4361,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C4362,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C4370,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C4371,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C4372,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C438,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C439,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C450,19,HCC19,"Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers",1
C451,19,HCC19,"Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers",1
C452,19,HCC19,"Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers",1
C457,19,HCC19,"Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers",1
C459,19,HCC19,"Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers",1
C460,21,HCC21,Lymphoma and Other Cancers,1
C461,21,HCC21,Lymphoma and Other Cancers,1
C462,21,HCC21,Lymphoma and Other Cancers,1
C463,21,HCC21,Lymphoma and Other Cancers,1
C464,21,HCC21,Lymphoma and Other Cancers,1
C4650,21,HCC21,Lymphoma and Other Cancers,1
C4651,21,HCC21,Lymphoma and Other Cancers,1
C4652,21,HCC21,Lymphoma and Other Cancers,1
C467,21,HCC21,Lymphoma and Other Cancers,1
C469,21,HCC21,Lymphoma and Other Cancers,1
C470,21,HCC21,Lymphoma and Other Cancers,1
C4710,21,HCC21,Lymphoma and Other Cancers,1
C4711,21,HCC21,Lymphoma and Other Cancers,1
C4712,21,HCC21,Lymphoma and Other Cancers,1
C4720,21,HCC21,Lymphoma and Other Cancers,1
C4721,21,HCC21,Lymphoma and Other Cancers,1
C4722,21,HCC21,Lymphoma and Other Cancers,1
C473,21,HCC21,Lymphoma and Other Cancers,1
C474,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C475,21,HCC21,Lymphoma and Other Cancers,1
C476,21,HCC21,Lymphoma and Other Cancers,1
C478,21,HCC21,Lymphoma and Other Cancers,1
C479,21,HCC21,Lymphoma and Other Cancers,1
C480,20,HCC20,Lung and Other Severe Cancers,1
C481,20,HCC20,Lung and Other Severe Cancers,1
C482,20,HCC20,Lung and Other Severe Cancers,1
C488,20,HCC20,Lung and Other Severe Cancers,1
C490,21,HCC21,Lymphoma and Other Cancers,1
C4910,21,HCC21,Lymphoma and Other Cancers,1
C4911,21,HCC21,Lymphoma and Other Cancers,1
C4912,21,HCC21,Lymphoma and Other Cancers,1
C4920,21,HCC21,Lymphoma and Other Cancers,1
C4921,21,HCC21,Lymphoma and Other Cancers,1
C4922,21,HCC21,Lymphoma and Other Cancers,1
C493,21,HCC21,Lymphoma and Other Cancers,1
C494,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C495,21,HCC21,Lymphoma and Other Cancers,1
C496,21,HCC21,Lymphoma and Other Cancers,1
C498,21,HCC21,Lymphoma and Other Cancers,1
C499,21,HCC21,Lymphoma and Other Cancers,1
C49A0,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C49A1,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C49A2,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C49A3,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C49A4,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C49A5,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C49A9,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C4A0,21,HCC21,Lymphoma and Other Cancers,1
C4A10,21,HCC21,Lymphoma and Other Cancers,1
C4A111,21,HCC21,Lymphoma and Other Cancers,1
C4A112,21,HCC21,Lymphoma and Other Cancers,1
C4A121,21,HCC21,Lymphoma and Other Cancers,1
C4A122,21,HCC21,Lymphoma and Other Cancers,1
C4A20,21,HCC21,Lymphoma and Other Cancers,1
C4A21,21,HCC21,Lymphoma and Other Cancers,1
C4A22,21,HCC21,Lymphoma and Other Cancers,1
C4A30,21,HCC21,Lymphoma and Other Cancers,1
C4A31,21,HCC21,Lymphoma and Other Cancers,1
C4A39,21,HCC21,Lymphoma and Other Cancers,1
C4A4,21,HCC21,Lymphoma and Other Cancers,1
C4A51,21,HCC21,Lymphoma and Other Cancers,1
C4A52,21,HCC21,Lymphoma and Other Cancers,1
C4A59,21,HCC21,Lymphoma and Other Cancers,1
C4A60,21,HCC21,Lymphoma and Other Cancers,1
C4A61,21,HCC21,Lymphoma and Other Cancers,1
C4A62,21,HCC21,Lymphoma and Other Cancers,1
C4A70,21,HCC21,Lymphoma and Other Cancers,1
C4A71,21,HCC21,Lymphoma and Other Cancers,1
C4A72,21,HCC21,Lymphoma and Other Cancers,1
C4A8,21,HCC21,Lymphoma and Other Cancers,1
C4A9,21,HCC21,Lymphoma and Other Cancers,1
C50011,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50012,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50019,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50021,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50022,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50029,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50111,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50112,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50119,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50121,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50122,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50129,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50211,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50212,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50219,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50221,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50222,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50229,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50311,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50312,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50319,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50321,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50322,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50329,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50411,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50412,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50419,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50421,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50422,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50429,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50511,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50512,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50519,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50521,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50522,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50529,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50611,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50612,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50619,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50621,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50622,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50629,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50811,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50812,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50819,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50821,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50822,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50829,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50911,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50912,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50919,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50921,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50922,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C50929,23,HCC23,"Prostate, Breast, and Other Cancers and Tumors",1
C510,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C511,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C512,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
C518,22,HCC22,"Bladder, Colorectal, and Other Cancers",1
